planet_id,pl_name,star_id,method_id,disc_year,pl_orbper,pl_radj,pl_bmassj,pl_eqt
1,11 Com b,1,1,2007,323.21000000000,1.09000000,15.46400000,
2,11 UMi b,2,1,2009,516.21997000000,1.09000000,14.74000000,
3,14 And b,3,1,2008,186.76000000000,1.16000000,3.55900000,
4,14 Her b,4,1,2002,1766.41000000000,1.12000000,8.90000000,
5,16 Cyg B b,5,1,1996,798.50000000000,1.20000000,1.78000000,
6,17 Sco b,6,1,2020,578.38000000000,1.15000000,4.32000000,
7,18 Del b,7,1,2008,982.85000000000,1.12000000,9.20700000,
8,1RXS J160929.1-210524 b,8,2,2008,,1.66400000,8.00000000,1700.00
9,24 Boo b,9,1,2018,30.33000000000,1.24000000,0.88300000,
10,24 Sex b,10,1,2010,452.80000000000,1.19000000,1.99000000,
11,24 Sex c,10,1,2010,883.00000000000,1.24000000,0.86000000,
12,2M0437 b,11,2,2021,,1.16000000,4.00000000,1450.00
13,2MASS J01033563-5515561 AB b,12,2,2013,,1.10000000,13.00000000,
14,2MASS J01225093-2439505 b,13,2,2013,,1.00000000,24.50000000,1600.00
15,2MASS J02192210-3925225 b,14,2,2015,,1.44000000,13.90000000,
16,2MASS J0249-0557 c,15,2,2018,,1.55000000,11.38000000,1723.00
17,2MASS J03590986+2009361 b,16,2,2024,,1.08000000,18.00000000,2369.00
18,2MASS J04414489+2301513 b,17,2,2010,,1.13000000,7.50000000,
19,2MASS J11011926-7732383 b,18,2,2024,,1.06000000,28.00000000,2677.00
20,2MASS J11550485-7919108 b,19,2,2024,,1.08000000,20.00000000,2506.00
21,2MASS J12073346-3932539 b,20,2,2004,,1.40000000,5.20000000,1163.00
22,2MASS J19383260+4603591 b,21,3,2015,406.00000000000,1.20000000,1.90000000,
23,2MASS J21252752-8138278 b,22,2,2024,,1.10000000,12.00000000,1616.00
24,2MASS J22362452+4751425 b,23,2,2016,,1.10000000,12.50000000,
25,2MASS J22501512+2325342 b,24,2,2018,,1.06000000,30.00000000,1600.00
26,4 UMa b,25,1,2006,270.27000000000,1.12000000,7.90200000,
27,47 UMa b,26,1,1996,1078.00000000000,1.18000000,2.53000000,
28,47 UMa c,26,1,2001,2391.00000000000,1.27000000,0.54000000,
29,47 UMa d,26,1,2009,14002.00000000000,1.20000000,1.64000000,
30,51 Eri b,27,2,2015,9100.00000000000,,10.90000000,807.00
31,51 Peg b,28,1,1995,4.23078500000,1.27000000,0.46000000,
32,55 Cnc B b,29,1,2025,6.79940000000,0.15100000,0.01101223,
33,55 Cnc B c,29,1,2025,33.74700000000,0.19300000,0.01667566,
34,55 Cnc b,30,1,1996,14.65155200000,1.24000000,0.83060000,700.00
35,55 Cnc c,30,1,2004,44.39360000000,0.76000000,0.17140000,
36,55 Cnc d,30,1,2002,4799.00000000000,1.16000000,3.87800000,
37,55 Cnc e,30,1,2004,0.73654740000,0.16727630,0.02513923,1958.00
38,55 Cnc f,30,1,2007,260.58000000000,0.67700000,0.14100000,
39,6 Lyn b,31,1,2008,919.86000000000,1.20000000,1.88100000,
40,61 Vir b,32,1,2009,4.21500000000,0.18800000,0.01600000,
41,61 Vir c,32,1,2009,38.02100000000,0.39800000,0.05700000,
42,61 Vir d,32,1,2009,123.01000000000,0.45600000,0.07200000,
43,7 CMa b,33,1,2011,735.10000000000,1.20000000,1.85000000,
44,7 CMa c,33,1,2019,996.00000000000,1.24000000,0.87000000,
45,70 Vir b,34,1,1996,116.68800000000,1.13000000,7.49000000,
46,75 Cet b,35,1,2012,696.62000000000,1.18000000,2.47900000,
47,75 Cet c,35,1,2023,2051.62000000000,1.24000000,0.91200000,
48,8 UMi b,36,1,2015,93.31000000000,1.20000000,1.65000000,
49,81 Cet b,37,1,2008,1005.57000000000,1.17000000,3.30700000,
50,91 Aqr b,38,1,2013,181.40000000000,1.17000000,3.20000000,
51,AB Aur b,39,2,2022,,1.12000000,9.00000000,
52,AB Pic b,40,2,2005,,1.10000000,13.50000000,
53,AF Lep b,41,2,2023,8905.00000000000,1.16000000,3.61000000,1400.00
54,AT2021ueyL b,42,4,2025,4168.69000000000,1.22000000,1.34000000,
55,AU Mic b,43,5,2020,8.46344600000,0.42733591,0.02828570,554.80
56,AU Mic c,43,5,2021,18.85902300000,0.24890756,0.04549625,424.70
57,AU Mic d,43,6,2023,12.73596000000,0.09120000,0.00331000,
58,AU Mic e,43,1,2025,33.11000000000,0.43400000,0.06638802,
59,BD+03 2562 b,44,1,2017,481.90000000000,1.13000000,6.40000000,
60,BD+05 4868 A b,45,5,2025,1.27186900000,,0.01950738,1820.00
61,BD+14 4559 b,46,1,2009,268.94000000000,1.23000000,1.04000000,
62,BD+15 2375 b,47,1,2016,153.22000000000,1.23000000,1.06100000,
