star_id,hostname,st_teff,st_rad,st_mass,st_dist,star_type
1,11 Com,4874.00,13.760000,2.090000,93.18460000,G8 III
2,11 UMi,4213.00,29.790000,2.780000,125.32100000,K4 III
3,14 And,4888.00,11.550000,1.780000,75.43920000,K0 III
4,14 Her,5338.00,0.930000,0.970000,17.93230000,K0
5,16 Cyg B,5750.00,1.130000,1.080000,21.13970000,G3 V
6,17 Sco,4157.00,25.920000,1.220000,124.95300000,K3 III
7,18 Del,4980.00,8.800000,2.100000,76.22200000,G6 III
8,1RXS J160929.1-210524,4060.00,1.313160,0.850000,139.13500000,K7 V
9,24 Boo,4816.00,12.190000,1.050000,95.98630000,G3 IV
10,24 Sex,5098.00,4.900000,1.540000,72.06910000,K0 IV
11,2MASS J04372171+2651014,3100.00,0.840000,0.170000,128.48400000,M V
12,2MASS J01033563-5515561 A,,,0.190000,47.20000000,M5.5/M6
13,2MASS J01225093-2439505,3530.00,0.366450,0.400000,33.82810000,M3.5 V
14,2MASS J02192210-3925225,3064.00,0.281000,0.108000,40.08964117,M6
15,2MASS J0249-0557 A,2859.00,0.315959,0.046000,66.06130000,M6 V
16,2MASS J03590986+2009361,2943.00,0.289776,0.264996,117.43500000,
17,2MASS J04414489+2301513,2936.00,0.231916,0.019000,120.42398696,M8.5
18,2MASS J11011926-7732383,,,,,
19,2MASS J11550485-7919108,3021.00,0.600455,0.588460,100.86200000,
20,2MASS J12073346-3932539,2825.00,0.218870,0.188001,64.30800000,M8
21,2MASS J19383260+4603591,29564.00,0.203000,0.480000,396.33200000,
22,2MASS J21252752-8138278,3592.00,0.672832,0.643977,34.11540000,
23,2MASS J22362452+4751425,4045.00,0.641152,0.600000,69.57370000,K7 V
24,2MASS J22501512+2325342,3352.00,0.437589,0.433173,57.23090000,M3
25,4 UMa,4415.00,18.110000,1.234000,73.46030000,K1 III
26,47 UMa,5872.00,1.213340,1.060000,13.79670000,G0V
27,51 Eri,7422.00,1.450000,1.750000,29.75750000,F0 IV
28,51 Peg,5758.00,1.175610,1.030000,15.46140000,G5V
29,55 Cnc B,3286.00,0.274000,0.260000,12.47730000,M4.5 V
30,55 Cnc,5198.00,0.980000,1.015000,12.58550000,G8 V
31,6 Lyn,4941.00,4.940000,1.320000,54.65990000,K0 IV
32,61 Vir,5577.00,0.963000,0.942000,8.50332000,G5 V
33,7 CMa,4826.00,4.870000,1.340000,19.81010000,K1III(+M)
34,70 Vir,5495.00,1.890000,1.090000,17.90110000,G5V
35,75 Cet,4809.00,10.380000,1.920000,82.96130000,G3 III
36,8 UMi,4847.00,10.730000,1.510000,162.55200000,K0
37,81 Cet,4734.00,11.210000,1.230000,101.26000000,G5 III
38,91 Aqr,4665.00,11.000000,1.400000,44.03040000,K0 III
39,AB Aur,9770.00,2.958870,2.400000,162.12700000,
40,AB Pic,5285.00,0.999394,0.900000,50.04750000,K2 V
41,AF Lep,6140.00,1.250000,1.218000,26.85640000,F8
